Date,Open,High,Low,Close,Adj Close,Volume
2020-11-27,54.860001,55.549999,52.599998,54.000000,54.000000,105795100
2020-11-30,54.209999,54.389999,48.180000,50.529999,50.529999,179765400
2020-12-01,52.020000,52.099998,44.049999,45.360001,45.360001,246472300
2020-12-02,40.160000,48.000000,38.430000,47.980000,47.980000,313028300
2020-12-03,47.900002,48.650002,45.209999,45.349998,45.349998,173424000
2020-12-04,44.660000,45.160000,41.650002,43.040001,43.040001,191969900
2020-12-07,42.500000,46.320000,42.410000,45.110001,45.110001,165048500
2020-12-08,47.209999,48.299999,45.669998,46.560001,46.560001,115799600
2020-12-09,47.080002,47.200001,42.959999,44.009998,44.009998,121387900
2020-12-10,42.439999,45.669998,41.889999,45.220001,45.220001,107376800
2020-12-11,42.480000,43.630001,41.259998,41.980000,41.980000,147076100
2020-12-14,39.939999,41.480000,39.509998,40.980000,40.980000,171598200
2020-12-15,42.470001,43.840000,41.270000,43.500000,43.500000,132336900
2020-12-16,44.250000,45.259998,43.330002,44.669998,44.669998,120109600
2020-12-17,45.169998,46.049999,43.900002,46.000000,46.000000,130003700
2020-12-18,45.889999,48.000000,45.520000,46.720001,46.720001,126251100
2020-12-21,45.630001,49.490002,45.020000,48.950001,48.950001,132558100
2020-12-22,49.610001,49.840000,46.529999,47.580002,47.580002,117118300
2020-12-23,47.480000,48.360001,45.810001,47.009998,47.009998,81247900
2020-12-24,46.880001,47.130001,45.349998,45.770000,45.770000,60582500
2020-12-28,46.669998,46.849998,43.669998,44.060001,44.060001,105078000
2020-12-29,43.700001,46.279999,42.230000,46.139999,46.139999,120689900
2020-12-30,46.500000,48.380001,45.720001,48.380001,48.380001,116691700
2020-12-31,48.459999,50.500000,47.770000,48.740002,48.740002,129344300
2021-01-04,51.200001,54.450001,50.669998,53.490002,53.490002,213109700
2021-01-05,51.970001,53.750000,50.400002,53.200001,53.200001,147474800
2021-01-06,54.020000,55.279999,49.080002,50.500000,50.500000,176397700
2021-01-07,53.049999,54.610001,52.349998,54.279999,54.279999,119429200
2021-01-08,57.759998,59.310001,55.880001,58.919998,58.919998,218512800
2021-01-11,64.949997,66.989998,62.189999,62.700001,62.700001,279770300
2021-01-12,61.419998,64.129997,60.419998,62.040001,62.040001,184319300
2021-01-13,62.939999,64.410004,61.410000,62.150002,62.150002,116059200
2021-01-14,62.630001,63.230000,60.040001,60.869999,60.869999,99338400
2021-01-15,59.840000,60.220001,55.669998,56.270000,56.270000,132247900
2021-01-19,58.209999,59.009998,56.410000,58.439999,58.439999,99561100
2021-01-20,59.849998,60.090000,56.189999,57.709999,57.709999,94983600
2021-01-21,57.020000,58.580002,55.880001,58.340000,58.340000,73119500
2021-01-22,58.950001,62.169998,58.320000,61.950001,61.950001,133918100
2021-01-25,64.050003,64.519997,58.349998,59.990002,59.990002,111986400
2021-01-26,60.040001,60.669998,58.639999,60.310001,60.310001,70393300
2021-01-27,57.950001,59.790001,56.599998,57.150002,57.150002,73078300
2021-01-28,56.759998,59.459999,55.150002,58.369999,58.369999,73955100
2021-01-29,59.029999,60.709999,56.439999,57.000000,57.000000,78678200
2021-02-01,59.070000,59.119999,54.369999,56.990002,56.990002,79878700
2021-02-02,57.060001,57.540001,54.509998,55.770000,55.770000,66234100
2021-02-03,55.959999,58.720001,54.840000,57.980000,57.980000,80122300
2021-02-04,58.790001,59.200001,57.110001,57.599998,57.599998,48667900
2021-02-05,57.740002,57.980000,56.009998,56.669998,56.669998,43057500
2021-02-08,57.080002,59.520000,56.180000,59.070000,59.070000,64030100
