Date,Open,High,Low,Close,Adj Close,Volume
2020-11-27,212.000000,212.029999,208.809998,211.000000,209.711807,3512900
2020-11-30,209.539993,210.539993,206.600006,210.350006,209.065765,7725500
2020-12-01,212.130005,213.669998,211.039993,211.199997,209.910583,8047900
2020-12-02,211.000000,211.399994,208.479996,210.179993,208.896805,9728900
2020-12-03,209.779999,211.110001,207.610001,208.050003,206.779816,9203300
2020-12-04,209.740005,212.720001,208.509995,212.679993,211.381531,5720100
2020-12-07,211.970001,214.500000,211.800003,212.649994,211.351730,10624500
2020-12-08,209.949997,213.130005,209.889999,212.770004,211.470993,8646200
2020-12-09,213.229996,213.500000,208.949997,209.580002,208.300476,6251100
2020-12-10,208.509995,209.300003,207.250000,207.610001,206.342499,10492000
2020-12-11,205.360001,206.889999,204.500000,206.240005,204.980865,9227600
2020-12-14,207.850006,211.300003,206.970001,207.250000,205.984695,11967700
2020-12-15,208.539993,209.440002,206.160004,208.360001,207.087921,9796100
2020-12-16,208.479996,209.130005,207.139999,208.270004,206.998474,7504400
2020-12-17,209.000000,211.779999,208.850006,211.179993,209.890701,6517200
2020-12-18,211.020004,211.979996,209.869995,211.309998,210.019913,13298200
2020-12-21,208.270004,209.800003,204.789993,209.009995,207.733948,7576700
2020-12-22,208.389999,208.399994,205.600006,205.839996,204.583298,7396200
2020-12-23,207.330002,207.330002,205.110001,205.300003,204.046585,6523100
2020-12-24,206.639999,208.820007,206.600006,208.699997,207.425842,3367900
2020-12-28,209.850006,213.460007,208.949997,212.630005,211.331848,5816200
2020-12-29,214.610001,215.240005,213.539993,214.369995,213.061218,6093400
2020-12-30,216.000000,220.389999,215.649994,218.360001,217.026871,8875100
2020-12-31,218.399994,219.820007,216.199997,218.729996,217.394608,5922200
2021-01-04,220.250000,220.250000,214.240005,217.759995,216.430527,10318300
2021-01-05,216.309998,218.460007,213.639999,214.509995,213.200378,6869700
2021-01-06,213.800003,216.169998,212.070007,212.619995,211.321899,7206200
2021-01-07,212.199997,215.220001,212.199997,213.809998,212.504639,10967900
2021-01-08,214.169998,216.119995,212.750000,215.449997,214.134644,6513000
2021-01-11,213.960007,214.860001,212.479996,212.889999,211.590256,7353100
2021-01-12,212.339996,212.789993,207.470001,208.860001,207.584869,9331600
2021-01-13,209.410004,211.000000,208.630005,209.350006,208.071869,6688500
